City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-43.9535,288.05,95,99,1.79,NZ,1700854455
1,albany,42.6001,42.6001,276.61,58,82,2.24,US,1700854210
2,peterhead,57.5058,57.5058,277.37,73,100,12.87,GB,1700854465
3,mikun',62.3547,62.3547,259.06,98,100,1.82,RU,1700854465
4,segbwema,7.9967,7.9967,299.9,70,100,0.87,SL,1700854465
5,saldanha,-33.0117,-33.0117,290.18,77,1,8.45,ZA,1700854465
6,west island,-12.1568,-12.1568,299.14,83,75,4.63,CC,1700854466
7,tazacorte,28.629,28.629,294.69,91,75,3.09,ES,1700854466
8,enewetak,11.3474,11.3474,301.57,71,41,7.76,MH,1700854466
9,tiksi,71.6872,71.6872,240.88,100,63,1.3,RU,1700854467
10,ushuaia,-54.8,-54.8,285.94,67,0,10.8,AR,1700854467
11,port-aux-francais,-49.35,-49.35,277.94,79,13,9.92,TF,1700854467
12,dolores,-36.3132,-36.3132,296.47,29,3,7.32,AR,1700854467
13,isafjordur,66.0755,66.0755,275.59,89,100,7.47,IS,1700854468
14,goundi,9.3627,9.3627,301.59,30,33,0.66,TD,1700854468
15,blackmans bay,-43.0167,-43.0167,286.77,92,100,0.55,AU,1700854468
16,ancud,-41.8697,-41.8697,287.58,70,0,3.11,CL,1700854468
17,college,64.8569,64.8569,267.29,85,20,0.0,US,1700854436
18,haiku-pauwela,20.9219,20.9219,299.28,68,20,0.89,US,1700854408
19,nagqu,31.5,31.5,266.98,57,70,2.34,CN,1700854469
20,posto fiscal rolim de moura,-13.0833,-13.0833,296.3,98,100,0.74,BR,1700854470
21,edinburgh of the seven seas,-37.0676,-37.0676,286.3,96,100,12.11,SH,1700854470
22,bikenibeu village,1.3673,1.3673,301.71,73,14,1.6,KI,1700854470
23,tamanrasset,22.785,22.785,285.1,9,0,2.06,DZ,1700854470
24,broome,42.2506,42.2506,273.4,74,100,6.69,US,1700854471
25,papatowai,-46.5619,-46.5619,283.23,54,0,2.75,NZ,1700854471
26,puerto natales,-51.7236,-51.7236,290.4,39,0,5.14,CL,1700854471
27,grytviken,-54.2811,-54.2811,276.52,76,99,3.61,GS,1700854464
28,sungai penuh,-2.0833,-2.0833,290.47,95,100,0.38,ID,1700854472
29,st. john's,47.5649,47.5649,280.81,90,75,8.75,CA,1700854453
30,taltal,-25.4,-25.4,292.87,65,23,3.32,CL,1700854472
31,talnakh,69.4865,69.4865,249.76,96,44,1.5,RU,1700854473
32,bethel,41.3712,41.3712,283.32,48,0,3.6,US,1700854473
33,ribeira grande,38.5167,38.5167,291.37,94,20,4.02,PT,1700854473
34,qaqortoq,60.7167,60.7167,274.77,98,100,3.23,GL,1700854474
35,adamstown,-25.066,-25.066,295.13,73,94,8.1,PN,1700854279
36,viveiro,43.6623,43.6623,287.72,80,96,6.01,ES,1700854474
37,ajaokuta,7.5623,7.5623,301.12,70,72,1.73,NG,1700854474
38,ilulissat,69.2167,69.2167,272.16,47,75,4.12,GL,1700854475
39,afaahiti,-17.75,-17.75,301.08,87,100,11.17,PF,1700854475
40,iqaluit,63.7506,63.7506,266.0,73,75,2.57,CA,1700854418
41,punta arenas,-53.15,-53.15,286.16,62,75,10.29,CL,1700854222
42,kodiak,57.79,57.79,280.88,76,100,4.12,US,1700854476
43,oriental,19.3667,19.3667,293.92,33,0,4.08,MX,1700854476
44,rongelap,11.1635,11.1635,300.89,69,15,9.69,MH,1700854476
45,soata,6.3337,6.3337,295.83,63,51,1.33,CO,1700854476
46,vodice,43.7608,43.7608,286.32,89,15,1.53,HR,1700854477
47,cascais,38.6979,38.6979,287.56,78,0,6.26,PT,1700854477
48,luderitz,-26.6481,-26.6481,291.41,73,0,7.91,NA,1700854477
49,mae hong son,19.3003,19.3003,292.57,93,92,0.98,TH,1700854478
50,newman,37.3138,37.3138,286.61,35,0,5.81,US,1700854198
51,susuman,62.7833,62.7833,247.81,95,100,2.4,RU,1700854478
52,polyarnyy,69.1989,69.1989,272.53,81,100,6.82,RU,1700854478
53,yellowknife,62.456,62.456,265.6,91,75,3.09,CA,1700854479
54,mirny,62.5353,62.5353,247.94,100,91,1.17,RU,1700854479
55,popondetta,-8.7537,-8.7537,296.24,80,99,1.33,PG,1700854479
56,cabo san lucas,22.8909,22.8909,301.76,60,40,4.63,MX,1700854368
57,san antonio de pale,-1.4014,-1.4014,300.01,77,100,1.28,GQ,1700854479
58,ponta delgada,37.7333,37.7333,292.55,100,75,4.12,PT,1700854480
59,song cau,13.45,13.45,296.37,80,100,6.2,VN,1700854480
60,fale old settlement,-9.3852,-9.3852,302.02,76,100,6.87,TK,1700854480
61,kindu,-2.95,-2.95,294.63,100,100,0.47,CD,1700854480
62,jayapura,-2.5333,-2.5333,296.81,93,98,2.04,ID,1700854481
63,port mathurin,-19.6833,-19.6833,297.1,64,100,7.67,MU,1700854481
64,san pablo villa de mitla,16.9167,16.9167,298.28,36,43,2.37,MX,1700854481
65,pobe,6.9801,6.9801,298.68,83,100,2.71,BJ,1700854481
66,zakamensk,50.3741,50.3741,259.8,95,100,0.81,RU,1700854482
67,mazidagi,37.4775,37.4775,280.65,72,41,1.8,TR,1700854482
68,pacific grove,36.6177,36.6177,290.6,42,0,5.36,US,1700854325
69,tura,25.5198,25.5198,290.7,82,0,1.29,IN,1700854482
70,humaita,-7.5061,-7.5061,296.89,96,100,0.73,BR,1700854482
71,zilupe,56.3862,56.3862,267.63,95,100,2.01,LV,1700854483
72,tynda,55.1667,55.1667,246.04,91,31,1.95,RU,1700854483
73,badger,64.8,64.8,267.24,85,0,0.0,US,1700854483
74,longyearbyen,78.2186,78.2186,269.06,86,75,5.14,SJ,1700854483
75,itaituba,-4.2761,-4.2761,308.24,29,20,4.12,BR,1700854484
76,avarua,-21.2078,-21.2078,298.18,88,100,8.75,CK,1700854484
77,salalah,17.0151,17.0151,298.2,78,0,2.06,OM,1700854484
78,nadym,65.5333,65.5333,259.96,93,100,8.25,RU,1700854484
79,jabat,7.75,7.75,300.93,83,94,7.77,MH,1700854485
80,baharly,38.4362,38.4362,284.15,57,14,3.89,TM,1700854485
81,kearney,40.6995,40.6995,269.46,41,100,5.66,US,1700854485
82,invercargill,-46.4,-46.4,282.05,77,0,3.13,NZ,1700854486
83,fauske,67.2588,67.2588,270.25,82,18,3.92,NO,1700854486
84,ust'-ilimsk,58.0006,58.0006,251.63,98,59,1.2,RU,1700854486
85,puerto ayora,-0.7393,-0.7393,303.13,91,91,3.58,EC,1700854487
86,major isidoro,-9.5322,-9.5322,306.21,31,0,8.97,BR,1700854487
87,ierapetra,35.01,35.01,292.67,74,95,0.45,GR,1700854487
88,berezovyy,51.6667,51.6667,253.75,59,24,2.48,RU,1700854487
89,cushing,35.9851,35.9851,282.21,43,0,3.09,US,1700854248
90,chu,43.5983,43.5983,281.56,43,100,2.6,KZ,1700854488
91,mersing,2.4312,2.4312,298.1,94,20,2.57,MY,1700854488
92,rio grande,-32.035,-32.035,297.21,58,0,6.43,BR,1700854488
93,carnarvon,-24.8667,-24.8667,294.0,81,2,5.07,AU,1700854488
94,batarasa,8.6617,8.6617,299.77,85,71,4.61,PH,1700854489
95,vila franca do campo,37.7167,37.7167,292.38,99,100,1.52,PT,1700854489
96,tual,-5.6667,-5.6667,301.78,74,99,1.76,ID,1700854489
97,steamboat springs,40.485,40.485,277.0,76,100,2.06,US,1700854490
98,stanley,54.868,54.868,275.8,77,20,5.66,GB,1700854490
99,hermanus,-34.4187,-34.4187,289.07,73,5,2.94,ZA,1700854490
100,brookhaven,31.5791,31.5791,286.96,59,100,1.65,US,1700854490
101,hami,42.8,42.8,272.35,28,0,0.98,CN,1700854491
102,bilibino,68.0546,68.0546,256.91,90,100,1.65,RU,1700854491
103,tadmur,34.5608,34.5608,286.9,65,13,2.52,SY,1700854491
104,greenville,35.6127,35.6127,288.79,60,0,0.0,US,1700854457
105,diamantino,-14.4086,-14.4086,305.62,44,96,1.91,BR,1700854492
106,wajir,1.7471,1.7471,299.32,73,87,3.49,KE,1700854492
107,aasiaat,68.7098,68.7098,262.92,88,100,3.93,GL,1700854492
108,port elizabeth,-33.918,-33.918,292.77,86,0,4.63,ZA,1700854492
109,kavieng,-2.5744,-2.5744,300.49,79,25,2.3,PG,1700854493
110,greymouth,-42.4667,-42.4667,284.38,51,0,4.63,NZ,1700854493
111,the pinery,39.4553,39.4553,268.34,75,100,4.02,US,1700854472
112,tolanaro,-25.0319,-25.0319,298.19,73,40,7.72,MG,1700854494
113,khoyniki,51.8911,51.8911,273.96,90,100,5.9,BY,1700854494
114,beytussebap,37.5694,37.5694,276.57,79,1,0.68,TR,1700854494
115,hithadhoo,-0.6,-0.6,300.68,77,64,4.19,MV,1700854485
116,san buenaventura,27.0833,27.0833,292.66,52,20,4.12,MX,1700854495
117,holualoa,19.6228,19.6228,298.06,81,40,2.57,US,1700854495
118,edmundston,47.3737,47.3737,266.78,49,40,9.26,CA,1700854495
119,tawau,4.2498,4.2498,297.22,90,97,1.89,MY,1700854495
120,rio bueno,-40.3167,-40.3167,291.23,41,0,1.71,CL,1700854495
121,pudasjarvi,65.3833,65.3833,263.6,91,100,3.68,FI,1700854496
122,beau vallon,-20.4189,-20.4189,298.28,65,40,5.14,MU,1700854496
123,ambovombe,-25.1667,-25.1667,295.91,81,0,4.99,MG,1700854496
124,meadow lakes,61.6247,61.6247,279.61,74,100,4.12,US,1700854496
